claim	article_url	video_url	autres_candidats
Cette vidéo montre une manifestation contre le gouvernement polonais de fin novembre 2024	https://factuel.afp.com/doc.afp.com.36PC8B3	https://x.com/citoyeninitie/status/1860749254316204110	https://www.facebook.com/tchicholina.delaplaya/videos/921248886626294; https://www.tiktok.com/@joli_lo_/video/7300935759698070817; https://www.youtube.com/watch?v=w6tpIBHhZLw
Une vidéo de l'effondrement d'un immeuble après le séisme au Vénézuela	https://factuel.afp.com/doc.afp.com.B8R37G7		
Une vidéo montre Jordan Bardella, manette en main, en train de jeter des migrants à la mer dans un jeu vidéo	https://www.tf1info.fr/politique/jordan-bardella-a-t-il-ete-filme-manette-en-main-en-train-de-jeter-des-migrants-a-la-mer-dans-un-jeu-video-2285666.html	https://twitter.com/simbaTzoo/status/1755641454234394895	https://www.tiktok.com/@jordanbardella/video/7296198637917408544
La petite-fille de Donald Trump publie une vidéo en chinois parce que c’est « la langue de l’avenir	https://www.20minutes.fr/monde/chine/4215501-20260331-petite-fille-donald-trump-publie-video-chinois-parce-langue-avenir	https://x.com/Eng_china5/status/2024450595227390046	https://www.tiktok.com/@beerogers/video/7608130732111826196
Cette vidéo provient des mails piratés de Kash Patel	https://factuel.afp.com/doc.afp.com.A67M2ZQ	https://www.youtube.com/watch?v=-Ex49AEfl9w	https://x.com/LoeilMedias1/status/2038275139465290034; https://www.facebook.com/actualityryan/videos/819462675325070; https://www.youtube.com/shorts/v4l5Q12_xJw
Une vidéo montre un navire américain touché par des missiles iraniens.	https://factuel.afp.com/doc.afp.com.A9ZL2WF		
Cette vidéo montre comment des gens ont profité des incendies de Los Angeles pour piller des maisons.	https://dpa-factchecking.com/belgium/250116-99-602898	https://www.instagram.com/reel/DEwUGu2irMx	https://www.instagram.com/p/DEnnE1dzTe8; https://twitter.com/BPartisans/status/1877780939117359357; https://www.youtube.com/watch?v=ZLMtrT6RDe8
Cette vidéo montre des migrants en train d’attaquer des marines américains	https://www.20minutes.fr/societe/4152392-20250510-video-montre-migrants-train-attaquer-marines-americains	https://www.youtube.com/watch?v=9y2_RAcKQEQ	https://x.com/mikehoran1158/status/1919029276965282003
Une vidéo du dernier hommage à CR7 rendu à Madère	https://factuel.afp.com/doc.afp.com.C2274KE		
Aux États-Unis, une grande chaîne de supermarchés ajuste les prix en temps réel avec une IA ?	https://www.tf1info.fr/international/verif-aux-etats-unis-une-grande-chaine-de-supermarches-ajuste-t-elle-les-prix-en-temps-reel-avec-une-ia-2432570.html	https://x.com/Trump_Fact_News/status/2036718128323776908	
